URL,Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Name,Elementary School Score (out of 10),Middle School Name,Middle School Score (out of 10),High School Name,High School Score (out of 10),Address,Price,Beds,Baths,Sq Ft,Est. Monthly Payment,Time on Redfin,Year Built,Property Type,Style,HOA,Lot Size,Garage Spaces,Floor Type,Heat Type,Cool Type,Tax Amount,Zip Code,Noise Level,Flood Factor,Fire Factor,Heat Factor,Wind Factor
https://www.redfin.com/NV/Las-Vegas/4774-Willow-Glen-Dr-89147/home/29562057,42,38,36,Frank Kim Elementary School,5,Clifford J Lawrence Junior High School,5,Durango High School,2,"4774 Willow Glen Dr,Las Vegas,NV89147",425000,4,3,2067,"$2,733 ",8 days,1994,"Residential, Single Family Residence",Two Story,$20 ,"6,098",3,Tile,"Central, Gas","Central Air, Electric",2019,89147,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3973-El-Camino-Rd-89103/home/29546066,66,41,67,C H Decker Elementary School,4,Kenny C Guinn Middle School,5,Durango High School,2,"3973 El Camino Rd,Las Vegas,NV89103",395000,2,2,1162,"$2,465 ",8 days,1984,"Residential, Single Family Residence",One Story,0,"6,098",2,"Ceramic Tile, Linoleum, Vinyl","Central, Electric","Central Air, Gas",1196,89103,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6537-Wild-River-Dr-89108/home/29192064,62,39,47,Vail Pittman Elementary School,5,Frank F Garside Junior High School,3,Western High School,1,"6537 Wild River Dr,Las Vegas,NV89108",400000,3,2,1574,"$2,533 ",8 days,1994,"Residential, Single Family Residence",One Story,0,"4,792",2,"Linoleum, Tile, Vinyl","Central, Gas","Central Air, Electric",1654,89108,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/6213-Laredo-St-89146/home/29538542,52,38,44,R Guild Gray Elementary School,4,Kenny C Guinn Middle School,5,Bonanza High School,3,"6213 Laredo St,Las Vegas,NV89146",750000,3,3,1925,"$4,666 ",8 days,1960,"Residential, Single Family Residence",One Story,0,40075.2,2,"Hardwood, Tile","Electric, High Efficiency","Central Air, Electric",2096,89146,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/9816-Dryden-Ct-89148/home/109634253,50,37,35,Kathy L. Batterman Elementary School,8,Victoria Fertitta Middle School,8,Sierra Vista High School,2,"9816 Dryden Ct,Las Vegas,NV89148",540000,5,3,2460,"$3,606 ",9 days,2015,"Residential, Single Family Residence",Two Story,$48 ,"3,485",2,"Carpet, Ceramic Tile, Laminate","Central, Gas","Central Air, Electric",3900,89148,Medium,Minimal,Severe,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/3943-Tirana-Way-89103/home/29543771,76,44,51,C H Decker Elementary School,4,Kenny C Guinn Middle School,5,Education W Clark High School,3,"3943 Tirana Way,Las Vegas,NV89103",400000,3,3,1964,"$2,797 ",9 days,1988,"Residential, Townhouse",Two Story,$271 ,"3,675",2,"Laminate, Tile","Central, Gas","Central Air, Electric",1570,89103,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/10982-Village-Ridge-Ln-89135/home/29913008,13,30,24,Judy & John L Goolsby Elementary School,9,Victoria Fertitta Middle School,8,Durango High School,2,"10982 Village Ridge Ln,Las Vegas,NV89135",649900,3,2,1885,"$4,179 ",9 days,2002,"Residential, Single Family Residence",One Story,$57 ,"5,663",2,"Laminate, Tile","Central, Gas","Central Air, Electric",2761,89135,Medium,Minimal,Major,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/4512-Long-Horse-Ct-89147/home/29559187,41,39,32,Keith C & Karen W Hayes Elementary School,6,Clifford J Lawrence Junior High School,5,Durango High School,2,"4512 Long Horse Ct,Las Vegas,NV89147",495000,4,2.5,2062,"$3,128 ",9 days,1997,"Residential, Single Family Residence",Two Story,0,"7,405",2,"Carpet, Ceramic Tile","Central, Gas","Central Air, Electric",1969,89147,Medium,Minimal,Minimal,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/1016-Monticello-Dr-89107/home/29232210,74,39,55,Rose Warren Elementary School,5,Frank F Garside Junior High School,3,Bonanza High School,3,"1016 Monticello Dr,Las Vegas,NV89107",590000,4,1.5,3688,"$3,612 ",9 days,1961,"Residential, Single Family Residence",One Story,0,"6,098",1,"Carpet, Laminate, Tile","Central, Gas","Central Air, Electric",954,89107,Medium,Minimal,Minor,Severe,Minimal
https://www.redfin.com/NV/Las-Vegas/921-Percy-Arms-St-89138/home/28986596,63,0,54,Linda Rankin Givens Elementary School,9,Sig Rogich Middle School,8,Palo Verde High School,6,"921 Percy Arms St,Las Vegas,NV89138",519999,3,2.5,1723,"$3,380 ",9 days,2005,"Residential, Single Family Residence",Two Story,$48 ,"6,098",2,"Carpet, Ceramic Tile","Central, Gas","Central Air, Electric",2619,89138,Medium,Moderate,Severe,Major,Minimal
