zip,lat,lng,city,population,density,county_name,Median Household Income,Renter Occupied Households,Renter Occupied Households Percentage,Households Vacant,Households Vacant Percentage,Vacancy For Rent,Vacancy For Rent Percentage,Rental Properties by Number of Rooms-Studio Apartment,Rental Properties by Number of Rooms-Studio Apartment Percentage,Rental Properties by Number of Rooms- 1 Bedroom,Rental Properties by Number of Rooms- 1 Bedroom Percentage,Rental Properties by Number of Rooms- 2 Bedroom,Rental Properties by Number of Rooms- 2 Bedroom Percentage,Rental Properties by Number of Rooms- 3+ Bedroom,Rental Properties by Number of Rooms- 3+ Bedroom Percentage,Unemployment rate,,,,,
89130,36.25348,-115.22671,Las Vegas,34439,1725.8,Clark,"64,866","3,076",23%,"1,086",8%,319,29%,53,2%,359,11%,832,25%,"2,099",63%,6.40%,,,,,
89131,36.3064,-115.24256,Las Vegas,51053,1219.6,Clark,"80,013","2,691",17%,"1,513",9%,214,14%,0,0%,153,4%,531,16%,"2,727",80%,6.00%,,,,,
89134,36.20262,-115.3078,Las Vegas,23152,1339.5,Clark,"61,561","1,974",15%,"1,131",9%,155,14%,0,0%,10,0%,"1,231",55%,"1,001",45%,5.80%,,,,,
89135,36.09531,-115.37163,Las Vegas,29706,226.3,Clark,"91,579","3,132",27%,"1,373",12%,446,32%,43,1%,200,6%,"1,162",33%,"2,140",60%,2.80%,,,,,
89138,36.20212,-115.36499,Las Vegas,19971,423.8,Clark,"104,361","1,392",28%,557,11%,63,11%,0,0%,92,7%,238,17%,"1,052",76%,3.80%,,,,,
89139,36.03429,-115.21117,Las Vegas,42898,1543.4,Clark,"69,983","4,068",34%,"1,598",13%,291,18%,49,1%,675,15%,484,11%,"3,376",74%,5.10%,,,,,
89141,35.98813,-115.2074,Las Vegas,37596,1379.9,Clark,"86,895","2,563",26%,"1,303",13%,126,10%,0,0%,142,5%,328,11%,"2,491",84%,6.30%,,,,,
89142,36.14812,-115.031,Las Vegas,34008,2191,Clark,"53,284","3,679",32%,"1,041",9%,299,29%,58,2%,274,8%,"1,563",43%,"1,732",48%,7.10%,,,,,
89143,36.32168,-115.29288,Las Vegas,13602,1497.4,Clark,"83,590",814,18%,476,11%,68,14%,0,0%,0,0%,21,3%,675,97%,6.90%,,,,,
89144,36.17746,-115.31943,Las Vegas,19796,1714.3,Clark,"73,492","2,311",28%,987,12%,356,36%,34,1%,79,3%,997,36%,"1,686",60%,3.50%,,,,,
89145,36.16748,-115.27618,Las Vegas,24737,2251.4,Clark,"56,524","2,872",27%,"1,408",13%,355,25%,19,1%,408,13%,995,32%,"1,673",54%,5.70%,,,,,
89146,36.14323,-115.22679,Las Vegas,19756,1588.7,Clark,"43,003","3,922",48%,858,11%,469,55%,46,1%,941,25%,"1,842",50%,887,24%,10.20%,,,,,
89147,36.11289,-115.27985,Las Vegas,56463,2964,Clark,"56,009","8,283",38%,"2,541",12%,986,39%,152,2%,1418,17%,"3,165",37%,"3,852",45%,6.50%,,,,,
89148,36.06337,-115.29676,Las Vegas,61289,2435.3,Clark,"64,084","6,244",37%,"2,360",14%,666,28%,0,0%,907,12%,"2,043",28%,"4,393",60%,6.50%,,,,,
89149,36.2708,-115.29462,Las Vegas,41668,1234.8,Clark,"69,273","3,704",27%,"2,136",15%,787,37%,42,1%,855,19%,"1,363",30%,"2,304",50%,5.90%,,,,,
89155,36.17,-115.13,,,,,,,,,,,,,,,,,,,,5.40%,,,,,
89156,36.15906,-114.98176,Las Vegas,30740,265.8,Clark,"44,420","3,244",31%,"1,604",15%,658,41%,67,2%,289,9%,"1,383",41%,"1,648",49%,8.80%,,,,,
89158,36.10481,-115.17665,Las Vegas,406,681.2,Clark,,,,,,,,,,,,,,,,5.40%,,,,,
89166,36.33733,-115.4686,Las Vegas,27060,59.8,Clark,"65,645","1,123",27%,984,24%,512,52%,0,0%,523,27%,623,32%,802,41%,5.50%,,,,,
89169,36.12405,-115.14184,Las Vegas,20864,2336.1,Clark,"31,331","8,119",62%,"2,911",22%,"2,077",71%,1253,17%,2936,40%,"2,346",32%,866,12%,8.30%,,,,,
89178,35.98783,-115.29541,Las Vegas,38928,665.6,Clark,"78,849","2,114",18%,"1,918",16%,511,27%,16,1%,172,6%,318,12%,"2,233",82%,4.80%,,,,,
89179,35.8916,-115.32794,Las Vegas,11880,39.2,Clark,"78,639",120,14%,106,12%,13,12%,0,0%,0,0%,0,0%,216,100%,6.80%,,,,,
89183,35.99619,-115.15799,Las Vegas,41126,2267.8,Clark,"62,079","5,926",39%,"1,821",12%,538,30%,24,0%,830,12%,"2,110",30%,"4,013",58%,7.00%,,,,,
