Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Score (out of 10),Middle School Score (out of 10),High School Score (out of 10),Price,Beds,Baths,Sq Ft, Monthly Payment,Year Built,HOA Dues,Lot Size,Garage Spaces,Tax Amount,Zip Code
48,42,44,5,3,1,366835 ,4,3,1453,2313,2023,65,"2,485",1,619,89115
62,49,51,5,5,1,498000 ,3,2,1463,3061,1960,0,"7,405",0,949,89104
67,40,55,4,4,3,315900 ,3,2.5,1365,2148,1974,195,"1,307",2,742,89102
45,38,40,4,5,3,850000 ,4,2,2474,5247,1967,0,27007,0,1883,89146
57,41,44,5,3,1,650000 ,4,3,1876,3982,1961,0,27878,0,1085,89115
69,39,51,3,5,3,849000 ,3,3.5,3276,5411,1979,0,20473,2,3927,89146
72,49,52,4,5,1,360000 ,3,1,1068,2215,1944,0,"6,098",0,713,89104
5,19,30,4,3,1,469229 ,4,2,2019,2941,1996,0,"8,276",2,1581,89110
15,36,31,3,2,1,399987 ,2,2,1168,2474,1989,0,"4,356",2,947,89110
53,42,34,5,3,1,399000 ,4,2,1782,2657,2019,37,"5,663",2,2769,89115
59,32,47,4,3,1,535000 ,3,3,2901,3407,1979,0,22651,3,2444,89156
15,31,30,5,2,1,365000 ,3,2.5,1561,2259,1987,0,"5,227",2,885,89110
44,39,47,5,2,1,224000 ,2,1,700,1580,1983,200,"1,307",0,465,89110
57,32,42,5,3,1,310000 ,3,3,1363,2008,2006,75,"1,742",2,917,89156
42,34,39,6,4,3,475000 ,4,2.5,2122,3014,2005,0,"4,792",2,2036,89142
60,32,47,3,3,1,265000 ,2,2,1218,1771,2007,122,"1,307",1,752,89156
6,19,30,4,3,1,485000 ,3,2,2349,3037,1998,0,"9,148",3,1597,89110
39,32,35,4,3,1,699990 ,4,3.5,3349,4467,1990,0,22216,3,3310,89156
88,52,69,3,5,1,330000 ,5,2,1669,2034,1942,0,"6,534",0,696,89101
78,53,53,4,5,1,365000 ,3,2,1175,2249,1944,0,"6,534",0,758,89104
54,32,49,4,3,1,505000 ,5,3.5,3736,3328,1987,0,21780,3,3645,89156
6,23,28,4,3,1,565000 ,4,2.5,2882,3589,2002,15,"9,148",3,2285,89110
5,31,26,5,2,1,772000 ,4,4,3457,4980,2004,90,11761,3,3212,89110
60,45,51,4,4,3,249000 ,3,2,1081,1558,1978,0,"6,534",1,807,89110
62,41,48,3,,1,332900 ,3,2,1309,2123,2001,55,"4,356",2,897,89106
63,49,60,4,2,4,584999 ,6,4,4800,3621,1957,0,"6,534",0,1420,89101
61,41,47,4,2,2,399900 ,3,4,2549,2616,1972,155,"2,614",3,802,89121
50,46,56,4,5,1,321900 ,4,2,1257,1973,1957,0,"6,098",0,552,89104
56,43,69,3,3,2,244900 ,2,2,1320,1653,1969,143,"1,742",2,529,89121
18,41,39,,4,2,232900 ,3,2,1620,1545,2006,60,"5,227",0,1080,89142
42,42,55,5,4,1,319900 ,3,2,1184,1970,1973,0,"6,534",0,652,89110
68,39,55,6,3,2,394900 ,4,3,1963,2545,2006,0,"4,792",2,2168,89104
0,15,34,2,4,2,395000 ,3,2,1718,2543,2007,38,"5,663",2,1680,89122
7,0,20,4,3,1,649000 ,4,2.5,3310,4161,1984,91,20038,3,2205,89110
10,32,29,9,8,6,687900 ,3,3,2313,4581,2001,149,"6,534",3,3752,89135
22,38,28,8,4,2,988888 ,2,3,2190,6897,1989,670,"5,663",2,3669,89113
10,36,28,5,5,2,468000 ,3,2.5,1884,3012,1995,17,"4,792",3,2317,89147
22,36,42,8,4,2,465000 ,4,2.5,1553,2980,2001,18,"5,663",2,2136,89113
27,29,33,8,8,2,735000 ,4,3,2549,4816,2012,50,"5,186",2,4374,89135
14,0,26,,8,2,579995 ,2,2,2139,3996,2001,253,"10,454",2,3244,89135
19,29,28,,8,2,925000 ,2,2.5,2777,6264,2005,275,"7,841",2,5408,89135
38,34,35,5,6,2,419999 ,3,2,1182,2634,2001,0,"4,356",3,1434,89148
50,35,42,6,5,5,360000 ,3,3,1523,2348,1997,92,"2,614",1,1204,89147
51,33,44,6,6,2,540000 ,4,2.5,2382,3593,2014,50,"4,356",2,3710,89148
6,34,29,8,4,2,495000 ,4,2.5,1759,3181,2003,43,"3,920",2,2090,89113
34,0,33,5,6,2,589999 ,4,3.5,2517,3930,2016,75,"4,792",2,3870,89148
16,40,39,6,5,2,849980 ,6,4.5,4396,5644,2000,177,"7,405",3,4525,89147
77,0,52,6,7,2,364999 ,3,2.5,1493,2381,2005,65,"1,742",2,1561,89139
34,37,39,8,4,2,850000 ,4,3,3450,5583,2003,135,12632,4,4301,89113
15,29,26,6,6,2,779900 ,2,2,1758,5585,2020,405,"5,227",2,6124,89148
15,28,24,6,6,2,789999 ,2,2,1637,5606,2017,407,"6,098",2,5620,89148
25,36,38,,8,2,519000 ,2,2,1414,3598,2003,275,"6,098",2,2578,89135
12,31,22,9,8,2,598888 ,4,2,1687,3871,2002,57,"8,712",2,2732,89135
13,37,31,7,5,3,700000 ,3,2.5,2466,4524,1988,31,"9,583",3,3622,89117
33,33,37,5,4,2,950000 ,4,4,3079,6183,1999,98,15246,3,4762,89118
82,38,57,4,5,3,343000 ,3,2.5,1708,2319,1981,185,"1,307",2,968,89146
44,39,48,5,7,3,949900 ,3,2.5,2871,5830,1961,0,"10,019",2,1709,89102
36,40,49,6,8,5,999900 ,5,3.5,4436,6571,1999,215,"8,712",3,4427,89147
12,0,27,9,7,5,949000 ,3,3,2954,6105,2015,0,14810,3,5070,89118
46,0,38,6,7,2,374999 ,3,2.5,1657,2559,2004,220,"3,802",2,1122,89118
31,39,54,7,5,5,410000 ,2,2,1250,2617,1985,22,"4,356",2,1677,89117
15,32,40,4,5,5,784900 ,4,2.5,3024,5085,1986,0,20038,2,4626,89117
43,34,37,5,7,3,949000 ,3,3.5,3386,6356,2007,195,"6,534",2,5745,89117
28,34,45,7,8,3,464900 ,3,2,1789,3123,1990,31,"5,227",2,3704,89117
3,0,31,8,8,2,654900 ,3,2,1902,4375,2013,90,"5,663",2,4368,89135
46,38,44,4,5,3,415000 ,3,2,2755,2601,1981,0,"6,534",0,1389,89146
63,39,57,5,7,3,395000 ,3,3,1966,2629,1965,190,"2,400",2,881,89102
47,38,32,6,5,5,749900 ,4,3.5,3357,4836,1997,82,16988,3,3166,89147
45,46,56,2,4,3,415000 ,3,2,1212,2541,1961,0,"9,148",0,670,89119
71,46,48,2,3,1,458000 ,3,2.5,2699,2833,1963,0,"9,583",2,1093,89169
69,36,51,6,7,3,385000 ,3,2,1448,2381,1963,0,"8,276",0,910,89102
23,0,30,9,7,5,995000 ,7,5.5,4688,6599,2007,142,19602,3,5995,89118
51,39,36,6,4,3,218888 ,3,2,1020,1483,1971,130,"3,049",0,514,89103
64,42,49,4,5,2,399000 ,3,2,1622,2501,1973,0,"6,098",2,1337,89103
21,37,34,5,4,2,999999 ,3,2.5,3198,6354,1997,0,42689,4,4390,89118
20,22,34,4,4,3,529000 ,4,2.5,2421,3485,1999,90,"9,148",3,2725,89120
30,35,42,5,2,2,334900 ,3,2,1176,2105,1970,0,"8,276",2,1199,89121
66,45,51,3,2,3,378000 ,3,2,1236,2383,1963,0,"6,534",1,1432,89120
12,33,34,4,4,3,899999 ,5,3.5,4432,5675,1977,0,21780,4,3430,89120
55,44,51,5,2,2,349995 ,3,2,1359,2169,1972,0,"6,970",2,883,89121
72,50,63,3,2,2,345000 ,3,2,1536,2141,1961,0,"6,098",0,897,89122
66,46,54,5,2,2,425000 ,4,2.5,1878,2629,1971,0,10890,1,1015,89121
20,22,34,4,4,3,554000 ,3,2.5,2421,3659,1999,90,12197,3,3020,89120
4,0,39,7,6,2,489999 ,4,2.5,2034,3283,2017,43,"3,485",2,3676,89178
21,27,30,7,6,2,350000 ,3,2.5,1297,2284,2007,80,"2,178",1,1298,89178
13,27,31,7,6,2,350000 ,2,1.5,1297,2253,2006,50,"2,614",1,1290,89178
16,24,34,8,7,2,609999 ,5,3.5,3057,4018,2015,31,"5,227",2,4018,89113
32,0,34,5,6,2,350000 ,3,2.5,1316,2370,2004,86,"1,742",1,2258,89148
11,0,32,6,6,5,446000 ,3,3,1741,2924,2007,80,"4,356",2,2077,89178
14,0,28,6,6,5,399999 ,3,2.5,1480,2622,2006,99,"3,049",2,1533,89178
11,0,28,6,6,5,389900 ,3,2.5,1391,2576,2010,107,"2,614",2,1608,89178
16,0,30,8,7,2,550000 ,4,3,2672,3609,2003,52,"6,534",3,3169,89113
18,29,28,6,6,2,620000 ,3,2,1848,4232,2015,180,"4,792",2,4070,89148
24,0,30,5,6,2,475000 ,3,2,1672,3201,2015,75,"4,356",2,3385,89148
30,0,33,6,6,5,457400 ,3,2.5,2248,3007,2007,76,"3,485",2,2302,89178
51,33,44,6,6,2,756800 ,3,2.5,2733,5079,2000,180,"7,841",3,4405,89148
29,0,38,6,6,5,364900 ,3,2.5,1553,2432,2006,155,871,2,1105,89178
0,0,35,7,6,2,485425 ,4,3,2124,3348,2024,41,"3,485",2,4800,89178
64,0,52,9,7,5,649999 ,4,3.5,4063,4224,2006,18,"6,970",3,3771,89139
2,0,31,5,6,5,599999 ,4,3,2913,3958,2013,95,"5,663",3,3238,89178
19,30,27,6,6,2,695000 ,4,3.5,2781,4669,2005,184,"6,534",2,3885,89148
6,0,21,7,6,2,390000 ,3,2.5,1306,2527,2006,52,"3,049",2,1679,89178
0,0,37,7,6,2,450000 ,4,3,2423,3053,2013,97,"3,049",2,3133,89178
6,25,24,7,6,2,550000 ,4,2.5,2936,3650,2013,28,"4,792",2,3949,89178
34,0,40,6,7,2,450000 ,4,2.5,2190,3016,2008,136,"3,920",2,2228,89148
41,33,39,6,6,2,819999 ,6,4.5,4503,5549,2001,120,"6,970",3,6227,89148
22,28,32,6,6,2,819900 ,5,3.5,3699,5441,2002,155,"7,841",3,4517,89148
11,0,34,5,8,5,499000 ,4,2.5,2498,3350,2013,81,"3,920",2,3375,89178
77,0,50,6,7,2,395000 ,4,2.5,1655,2567,2005,65,"2,178",2,1642,89139
34,0,32,9,7,5,995000 ,3,2,2100,6135,1974,0,27878,4,2128,89118
55,0,47,8,7,2,660000 ,3,3,3034,4363,2003,108,"8,712",3,3637,89113
42,0,41,9,7,5,399999 ,3,2,1184,2538,2002,18,"3,920",2,1499,89139
32,0,37,5,8,5,495000 ,3,2.5,2125,3202,2007,67,"4,356",2,2047,89178
11,0,26,6,6,2,524999 ,4,2.5,2870,3379,2007,40,"4,792",2,2350,89178
44,0,40,6,7,2,980000 ,5,3.5,4051,6415,2019,32,"6,534",3,6182,89139
15,30,35,6,6,2,375000 ,3,2.5,1405,2390,2004,47,"1,742",1,1171,89148
47,0,42,6,7,2,985000 ,5,4.5,5160,6413,2006,60,"9,583",3,5457,89139
11,0,37,6,7,2,439900 ,3,2.5,1944,2864,2007,55,"3,049",2,2094,89148
27,29,32,6,6,2,583000 ,4,2.5,2243,3971,2013,182,"4,356",2,3579,89148
35,0,44,8,7,2,569999 ,5,3,3054,3836,2018,75,"4,792",2,4174,89113
0,0,37,7,6,2,419990 ,3,2.5,2145,2836,2013,97,"3,485",2,2691,89178
43,0,44,6,7,2,799900 ,5,3.5,5043,5258,2002,70,"9,583",3,4778,89139
8,0,33,9,7,5,947000 ,4,3,3100,5923,1978,0,22651,2,3026,89139
47,34,45,6,6,2,588000 ,4,2.5,2544,3973,2002,180,"4,356",2,3265,89148
13,0,33,6,6,2,749900 ,4,3,2042,4841,2006,118,"6,098",2,2788,89178
51,0,42,6,7,2,600000 ,4,3.5,2751,3978,2015,35,"3,485",2,4200,89118
22,29,31,6,6,2,799000 ,5,3,3388,5319,2003,180,"10,019",3,4252,89148
27,0,32,9,7,5,634900 ,4,2,2231,3991,1979,0,22216,2,2276,89118
25,0,31,7,7,2,699000 ,5,3.5,4147,4610,2013,25,"5,663",3,4797,89139
12,31,32,6,6,2,950000 ,4,3.5,3514,6359,2000,180,"8,712",3,5888,89148
34,0,33,7,7,2,475000 ,3,2.5,1565,3035,2006,35,"3,920",2,1866,89139
15,0,27,6,6,2,435999 ,3,3.5,1798,2885,2007,94,"3,049",2,2162,89178
27,0,43,8,7,2,875000 ,4,3.5,3210,5749,2006,128,"9,148",3,4585,89113
26,0,35,6,6,5,415000 ,3,2.5,1542,2736,2012,76,"3,485",2,2096,89178
28,0,32,8,7,2,465000 ,3,2.5,1903,3057,2006,70,"3,485",2,2433,89113
32,0,39,6,7,2,625000 ,5,3,3314,4057,2005,25,"6,098",3,3474,89139
17,34,35,5,6,2,539900 ,3,2.5,2146,3606,2017,83,"3,920",2,3479,89148
26,44,44,2,4,3,440000 ,5,2.5,2673,2763,1962,0,"7,405",0,1542,89119
18,33,29,8,4,2,979000 ,3,2.5,2871,6721,1984,590,"6,098",2,3222,89113
49,46,56,2,4,3,389000 ,3,2,1770,2388,1963,0,"6,970",0,699,89119
45,0,46,8,5,5,430000 ,3,2.5,1612,2816,1989,30,"6,098",2,2534,89123
10,35,36,8,4,2,640000 ,4,3,2095,4036,1995,0,"6,970",2,2448,89113
58,0,57,7,5,5,700000 ,4,2,3652,4384,1982,0,20038,2,2309,89123
21,29,44,6,5,5,739900 ,3,2.5,2801,4728,1992,0,20909,2,3567,89123
49,0,37,7,7,5,590000 ,5,2.5,2643,3856,2017,17,"4,356",2,3676,89139
8,33,32,8,4,2,749000 ,3,2.5,2476,4836,2015,40,"4,356",2,3739,89113
47,25,55,6,5,5,425000 ,3,2.5,1584,2700,1990,0,"4,792",2,1859,89123
44,0,57,7,5,5,900000 ,5,3.5,5861,5742,1990,0,27007,0,4232,89123
66,32,48,6,5,5,624900 ,3,2,2719,3892,1972,0,21780,2,1804,89123
20,32,37,6,5,5,659000 ,4,4,3234,4149,1990,0,"7,405",3,2440,89123
27,0,42,8,5,5,998000 ,3,3,2441,6279,1993,0,26136,3,3634,89123
56,35,41,6,5,5,799000 ,5,3,2987,5204,1973,0,40511,2,5032,89123
12,27,56,6,5,5,498995 ,3,2.5,1781,3218,2002,68,"5,227",2,1941,89123
