Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Score (out of 10),Middle School Score (out of 10),High School Score (out of 10),Price,Beds,Baths,Sq Ft, Monthly Payment,Year Built,HOA Dues,Lot Size,Garage Spaces,Tax Amount,Zip Code
5,0,26,5,8,5,750000 ,5,3,4027,5026,2021,55,"5,663",3,5764,89141
28,0,32,7,7,2,760000 ,5,4.5,4355,5074,2017,35,"6,970",3,5859,89139
7,0,26,9,8,5,460000 ,4,3,1813,2930,2008,36,"2,178",2,1670,89141
17,0,34,6,5,4,500000 ,4,2.5,2239,3219,2003,18,"5,663",3,2491,89183
5,0,28,7,8,5,499176 ,4,3,2089,3448,2023,51,"3,485",2,4900,89141
14,0,34,7,8,5,475738 ,3,2.5,1768,3298,2023,58,"3,920",2,4700,89141
63,38,53,6,5,5,595000 ,4,2.5,2904,3776,1998,21,"6,098",3,2304,89123
2,0,18,5,8,5,824500 ,3,3.5,2352,5181,1988,0,45302,2,2930,89178
14,0,34,7,8,5,526405 ,5,3,2469,3651,2023,57,"3,485",2,5300,89141
63,0,53,5,5,4,350000 ,3,2.5,1428,2326,1998,96,"1,742",2,1614,89123
43,0,39,5,8,5,699900 ,4,3,3134,4598,2006,77,"6,534",3,3957,89178
28,0,41,7,7,2,660000 ,4,3.5,2988,4354,2019,22,"5,663",2,4562,89139
8,0,27,9,8,5,684750 ,4,3.5,3280,4573,2018,78,"4,356",2,4737,89141
46,0,38,6,5,4,975000 ,5,4.5,4989,6320,2002,92,16117,3,4680,89183
63,0,45,5,5,4,430000 ,3,2,1388,2720,2003,23,"3,920",2,1461,89123
58,0,39,7,8,5,899990 ,5,4.5,4476,5939,2003,135,"8,276",3,4983,89141
4,0,26,7,8,5,710000 ,4,3.5,3179,4714,2017,59,"5,227",3,4847,89141
4,0,26,5,8,5,540000 ,4,3,2667,3582,2018,32,"3,485",2,3795,89141
17,0,33,6,5,4,749000 ,6,2.5,3108,4737,2002,19,"6,534",3,2794,89183
28,0,39,5,5,4,489900 ,4,2.5,2523,3225,2001,67,"4,792",2,2690,89183
30,0,40,7,7,2,649000 ,4,3,3000,4346,2019,25,"5,227",3,5217,89139
30,0,40,7,7,2,724900 ,4,4.5,3000,4770,2020,25,"4,792",2,4857,89139
1,0,27,5,8,5,749500 ,4,3.5,3945,4871,2006,84,"7,841",2,3592,89178
4,0,26,5,8,5,520000 ,4,3.5,2644,3401,2013,19,"3,485",2,3225,89139
27,0,45,5,8,5,899899 ,4,2.5,2665,5647,1990,0,21344,3,3107,89139
2,0,32,5,8,5,629500 ,3,2.5,3145,4152,2006,140,"3,920",3,2918,89178
36,0,31,7,8,5,323500 ,2,2.5,1359,2169,2007,70,"2,178",1,1940,89141
10,0,27,9,8,5,579900 ,4,3,2922,3806,2002,62,"6,970",3,3258,89141
41,26,35,6,5,5,444900 ,3,2.5,1641,2828,1997,15,"4,356",2,1792,89123
37,0,43,5,5,4,455000 ,3,2.5,2012,2889,1999,0,"6,098",2,1973,89123
5,0,32,9,8,5,990000 ,6,4,5025,6665,2007,215,"9,148",3,6264,89141
34,0,32,7,7,2,419000 ,3,2.5,1601,2848,2004,190,"2,614",2,1792,89139
8,0,32,9,8,5,508000 ,4,2.5,2152,3299,2002,77,"4,356",2,2168,89141
9,0,32,9,8,5,668500 ,5,4,3281,4534,2019,68,"4,792",2,5554,89141
10,0,26,5,8,5,599000 ,4,3.5,3048,3995,2018,32,"3,485",2,4514,89141
17,0,33,6,5,4,635000 ,5,3,3272,4115,2002,30,"6,534",3,3397,89183
5,0,28,9,8,5,469900 ,3,2.5,1547,3096,2010,81,"2,178",2,2420,89179
38,32,45,6,5,5,394900 ,3,2.5,1290,2575,2000,60,"3,485",2,1806,89123
9,0,28,5,8,5,565000 ,4,2.5,2024,3710,2019,32,"3,485",2,3534,89141
7,0,31,5,8,5,540000 ,4,3.5,2443,3561,2017,45,"3,049",2,3386,89139
63,0,44,9,8,5,650000 ,4,3,2762,4232,2002,62,"8,712",2,3333,89141
31,0,35,6,5,4,365000 ,3,2.5,1230,2390,2002,76,"1,742",1,1541,89183
17,0,37,5,8,5,865000 ,5,3.5,3413,5502,1984,0,21344,3,3868,89139
64,0,40,5,5,4,439900 ,3,2.5,1529,2822,1998,16,"4,356",2,2064,89183
32,0,47,6,5,4,400000 ,3,2.5,1478,2589,2004,44,"3,049",2,1803,89183
19,0,26,5,8,5,470000 ,3,2.5,2132,3081,2011,58,"4,356",2,2503,89141
50,27,37,6,5,5,515000 ,3,2,1477,3282,1998,47,"7,841",2,1810,89123
11,0,29,5,8,5,450000 ,3,2.5,1622,3111,2017,85,"3,049",2,3983,89178
3,0,31,5,8,5,614900 ,3,2.5,3145,4106,2006,122,"3,920",3,3622,89178
4,0,26,5,8,5,558000 ,4,3.5,3065,3773,2017,32,"4,356",2,4796,89141
16,0,13,9,8,5,429000 ,3,3,2190,2988,2001,245,"3,920",2,2095,89141
12,0,28,7,8,5,506347 ,3,2.5,2124,3473,2023,58,"3,485",2,4600,89141
23,0,31,6,5,4,640000 ,3,2.5,2150,3985,2022,67,"6,534",2,1030,89183
11,0,28,5,8,5,599900 ,5,2.5,2890,3992,2015,32,"4,356",2,4416,89141
24,0,27,9,8,5,999900 ,3,2.5,3073,6648,2003,200,12197,3,5525,89141
2,0,31,5,8,5,629000 ,3,2.5,3145,4181,2006,130,"3,920",3,3417,89178
11,0,25,9,8,5,624000 ,5,3,3202,4039,2004,114,"5,227",2,2259,89141
14,0,35,6,8,4,389900 ,3,2.5,1550,2541,2006,45,"2,178",1,1936,89183
51,0,38,7,7,2,599999 ,4,2.5,2971,3965,2018,38,"5,227",2,4012,89139
32,0,38,6,5,4,485000 ,5,2.5,1930,3095,2004,48,"3,485",2,1716,89183
27,0,2,9,8,5,599000 ,3,2.5,2295,3847,2002,78,"6,970",2,2182,89141
38,0,39,6,5,4,460000 ,6,3.5,1520,2967,2001,19,"4,356",2,2320,89183
17,0,33,6,5,4,794900 ,5,3,3254,4969,2002,19,"6,098",3,2278,89183
28,0,34,6,5,4,740000 ,5,3,3118,4713,2002,18,"7,405",3,3165,89183
17,0,33,6,5,4,735000 ,5,3,3272,4718,2002,18,"6,970",3,3587,89183
26,47,48,2,2,3,350000 ,2,3.5,1604,2246,2004,60,"2,614",1,1078,89122
52,35,38,7,8,6,845000 ,3,2.5,2715,5512,2003,55,"8,276",3,4771,89135
58,39,46,7,4,2,319999 ,3,2,1198,2238,1998,225,"1,742",2,1157,89118
27,29,31,7,7,5,479000 ,3,2,1789,3102,1997,33,"6,970",2,2405,89131
12,29,29,8,3,5,799000 ,4,3.5,3160,5405,2021,143,"6,098",3,5729,89166
29,38,27,8,4,2,699000 ,3,3,2450,5092,1986,677,"3,049",2,2752,89113
22,28,47,3,2,1,464000 ,4,2,2324,3005,2006,50,"8,712",3,2114,89031
34,33,66,9,8,6,850000 ,4,3,2408,5511,2007,55,"9,583",2,4398,89138
16,26,46,3,2,1,525000 ,3,3,2561,3471,2007,50,"6,534",2,3327,89031
62,27,49,5,6,2,737000 ,5,4.5,4187,4903,2005,102,"7,841",2,4661,89084
5,0,25,9,8,5,489000 ,3,2.5,2378,3239,2004,109,"3,920",2,2427,89141
10,0,29,6,5,4,828000 ,3,2.5,2527,5504,2017,90,13939,3,5473,89183
43,0,42,6,5,4,650000 ,5,3,2968,4238,1999,100,"5,663",3,2951,89183
4,0,23,9,8,5,549900 ,4,2.5,2049,3607,2013,40,"5,663",2,3286,89179
54,0,44,6,5,4,450000 ,3,2.5,1866,2853,2000,27,"5,663",2,1583,89183
3,0,28,7,8,5,560000 ,3,2.5,1902,3511,2023,51,"4,792",2,1286,89141
6,0,28,9,8,5,685000 ,4,2.5,3076,4609,2003,113,"8,276",3,4732,89141
16,0,44,6,8,4,430000 ,5,2.5,2031,2778,2006,34,"3,485",2,2034,89183
43,0,58,6,5,4,300000 ,2,2,1189,2016,2007,136,"1,307",1,1004,89183
28,0,32,9,8,5,590000 ,4,2.5,2535,4047,2006,239,"4,356",2,3303,89141
22,29,34,6,5,5,439900 ,3,2,1733,2843,1998,17,"5,663",3,2298,89123
9,0,24,9,8,5,459999 ,3,2.5,2179,2989,2007,40,"3,920",2,2330,89141
1,0,28,5,8,5,490000 ,4,3,2234,3279,2016,67,"4,792",2,3339,89139
17,0,34,6,5,4,639000 ,5,3,3272,4107,2003,19,"6,098",3,3141,89183
11,0,34,5,8,5,499900 ,4,3.5,2644,3377,2016,72,"3,485",2,3737,89139
46,0,29,9,8,5,405000 ,3,2,1405,2622,2002,72,"3,920",2,1505,89141
3,0,14,5,8,5,640000 ,4,3.5,3047,4270,2013,35,"3,485",2,4828,89139
17,0,33,6,8,4,469900 ,4,2.5,2014,3019,2003,18,"4,356",2,2251,89183
30,0,41,8,5,5,410000 ,3,2,1523,2636,1995,35,"8,712",2,1752,89123
4,0,25,9,8,5,550000 ,3,2.5,2218,3656,2013,40,"6,970",3,3872,89179
25,0,34,7,8,5,515000 ,3,2.5,2019,3322,2001,72,"4,356",2,2000,89141
5,0,26,5,8,5,720000 ,5,3.5,3952,4855,2019,32,"5,663",3,6140,89141
18,0,28,9,8,5,600000 ,5,3.5,2300,3909,2005,124,"6,098",3,2304,89141
26,0,32,7,8,5,554900 ,5,3,2647,3574,2004,42,"4,792",2,2507,89139
31,0,25,7,8,5,819888 ,4,3.5,3025,5342,2002,184,11326,3,2987,89141
55,0,48,5,8,5,449900 ,3,2.5,2032,2917,2006,31,"3,920",2,2308,89178
16,0,39,5,8,5,420000 ,3,2.5,2179,2782,2008,54,"3,049",2,2562,89139
21,0,34,7,8,5,409990 ,3,2,1562,2676,2002,72,"4,356",2,1783,89141
56,24,48,8,5,5,399900 ,2,2,1143,2555,1998,34,"3,920",2,1517,89123
8,0,27,9,8,5,469000 ,3,2.5,1700,3163,2015,99,"3,049",2,3069,89179
10,0,26,5,8,5,695000 ,5,2.5,3971,4664,2019,32,"4,356",2,5647,89141
65,0,52,5,5,4,420000 ,3,2,1563,2650,2000,0,"6,970",2,1620,89123
24,26,32,8,5,5,475000 ,3,2,1584,3032,2001,18,"5,227",2,2033,89123
30,0,35,6,5,4,355000 ,3,2.5,1230,2327,2002,78,"1,742",1,1478,89183
20,0,27,5,5,4,415000 ,2,3,1635,2728,1999,105,"3,485",2,1652,89123
17,0,32,5,8,5,866998 ,5,3,3380,5751,2010,166,"6,970",3,4723,89178
19,0,40,8,7,2,505736 ,4,3,2124,3493,2024,48,"3,485",2,5000,89113
19,0,40,8,7,2,507288 ,4,3,2124,3502,2024,48,"3,485",2,5000,89113
12,0,29,5,8,5,510000 ,5,2.5,2290,3423,2020,65,"3,485",2,3652,89141
1,0,31,9,8,5,570000 ,4,3,2803,3733,2007,95,"4,356",2,2697,89179
49,0,46,5,5,4,425000 ,2,2,1305,2683,2001,0,"3,920",2,1658,89123
31,0,33,9,8,5,644900 ,5,3,3134,4206,2004,124,"6,534",3,2648,89141
4,0,28,6,5,4,778888 ,2,2,1440,4812,1971,0,44431,1,1779,89183
4,0,40,9,8,5,589900 ,3,2.5,2596,3823,2003,62,"6,970",3,2740,89141
30,0,18,9,8,5,549000 ,4,2.5,2432,3655,2015,45,"4,356",2,3870,89141
25,0,44,6,8,4,360000 ,3,2.5,1550,2355,2006,50,"2,178",1,1788,89183
14,0,30,8,7,2,645000 ,5,3,3088,4278,2021,44,"4,792",2,4464,89113
53,0,44,5,8,5,450000 ,4,2.5,1875,2925,2006,88,"2,614",2,1714,89178
8,0,29,7,8,5,449000 ,3,2.5,1873,2975,2007,101,"2,614",2,2226,89141
53,0,46,6,5,4,500000 ,4,2.5,1930,3202,1999,10,"4,792",3,2379,89183
3,0,26,9,8,5,975000 ,4,2.5,3073,6366,2004,197,11761,3,3966,89141
1,0,26,5,8,5,450000 ,3,2.5,2233,2980,2007,66,"3,485",2,2633,89178
45,0,38,6,5,4,889000 ,4,3,2798,5878,2019,109,"9,148",3,5349,89183
51,0,69,5,5,4,364900 ,2,2.5,1299,2417,2008,99,"2,178",1,1592,89183
25,0,46,5,5,4,364900 ,3,2.5,1351,2481,2001,166,"1,742",2,1560,89183
18,19,30,8,5,5,463000 ,4,2,1728,2972,2000,18,"4,792",2,2183,89123
37,0,43,8,7,2,565000 ,4,4,2328,3774,2020,62,"3,920",2,3942,89113
18,0,37,5,5,4,475000 ,3,2.5,1977,3181,2002,157,"4,356",2,2162,89123
25,0,41,6,8,4,395000 ,3,2.5,1741,2548,2006,47,"2,614",1,1635,89183
4,0,31,9,8,5,440000 ,3,2.5,1891,2845,2010,51,"3,485",2,1908,89179
53,0,31,7,8,5,789900 ,3,2.5,2540,5207,2002,183,10890,3,3532,89141
5,0,26,5,8,5,999000 ,5,4.5,4934,6601,2021,55,"5,663",3,6773,89141
43,0,39,5,8,5,769000 ,5,4,4003,4988,2006,77,"6,534",3,3671,89178
10,0,28,6,5,4,749900 ,4,3,3053,4932,2012,90,14375,3,4215,89183
6,0,30,7,8,5,529950 ,3,2.5,1910,3316,2023,66,"3,920",2,927,89141
43,0,36,6,5,4,349900 ,3,2.5,1510,2324,2003,109,"2,178",1,1443,89183
25,0,44,6,8,4,488000 ,5,3,1934,3098,2006,42,"3,485",2,1607,89183
7,0,3,9,8,5,979900 ,4,3,5120,6553,2006,227,12197,3,5505,89141
5,0,28,9,8,5,375000 ,3,2.5,1284,2474,2010,90,"2,178",1,1661,89179
2,0,28,9,8,5,560000 ,3,2.5,2396,3675,2004,109,"3,920",2,2556,89141
46,0,45,5,5,4,130000 ,2,1,736,1008,1966,193,"3,136",0,440,89123
52,43,48,4,3,1,785000 ,5,3.5,3170,4914,1962,0,42689,0,2565,89121
39,37,38,7,2,3,295000 ,2,2.5,1209,1987,2008,125,"2,178",1,1147,89011
31,43,42,4,2,3,330000 ,2,2,1108,2033,1984,0,"3,920",2,683,89122
15,30,38,7,2,3,340000 ,3,3,1362,2227,2005,127,"1,742",1,769,89122
14,35,48,4,2,3,399999 ,4,2.5,2007,2737,2013,65,"3,920",2,3318,89122
11,31,40,7,2,3,364988 ,4,2.5,1602,2407,2006,130,"1,742",2,1101,89122
13,26,40,7,2,3,399900 ,4,2.5,1954,2645,2006,127,"3,049",2,1486,89122
35,40,35,4,2,3,365000 ,3,2.5,1196,2482,2020,105,"3,485",2,2303,89122
34,42,39,3,2,3,370000 ,3,2.5,1732,2347,2003,50,"3,049",1,974,89122
42,46,49,4,2,3,365000 ,3,2,1622,2294,1999,0,"6,098",2,1298,89122
11,33,40,4,2,3,390000 ,3,2,1777,2564,2000,112,"7,405",2,1405,89122
46,49,57,4,2,3,249999 ,2,2,1069,1747,2007,186,871,1,767,89122
35,39,36,4,2,3,376000 ,3,2.5,1415,2487,2019,32,"3,049",2,2442,89122
26,35,53,4,2,3,440000 ,3,3,2173,2953,2017,65,"3,920",2,3038,89122
23,43,40,2,2,3,399900 ,3,2,1777,2609,1995,112,"9,148",2,1231,89122
26,31,44,4,2,3,375000 ,4,2.5,1526,2373,2007,35,"3,049",2,1115,89122
54,48,58,4,2,3,330000 ,3,2.5,1685,2239,2010,174,871,2,1064,89122
14,35,48,4,2,3,420000 ,3,3,2173,2818,2014,65,"5,663",2,2858,89122
23,27,46,4,2,3,354999 ,3,2.5,1671,2268,2006,43,"3,049",2,1194,89122
27,26,41,4,2,3,310000 ,2,2,1066,2022,1999,105,"3,920",2,728,89122
58,48,57,4,2,3,309900 ,3,2.5,1468,2116,2007,174,871,2,1033,89122
29,39,35,4,2,3,349900 ,4,3,1896,2410,2005,38,"3,485",2,3323,89122
68,47,57,4,2,3,408000 ,4,2.5,1984,2640,2007,75,"3,920",2,1458,89122
42,42,39,3,2,3,324000 ,3,1.5,1106,2046,2003,47,"2,614",1,706,89122
36,40,36,4,2,3,360000 ,3,2.5,1415,2373,2019,32,"2,614",2,2223,89122
30,32,56,7,2,3,480000 ,3,3,2173,3217,2018,55,"3,485",2,3451,89122
35,34,37,4,2,3,350000 ,3,2.5,1540,2293,2002,120,"3,920",2,932,89122
33,32,39,4,2,3,385000 ,5,3,1594,2505,2002,115,"3,920",2,1017,89122
28,45,41,2,2,3,242900 ,3,2,1300,1576,1997,70,"5,227",0,620,89122
2,21,36,4,2,3,298000 ,3,2,1225,1953,2001,105,"3,920",2,768,89122
18,28,36,7,2,3,347900 ,3,2.5,1504,2306,2005,115,"3,049",2,1292,89122
20,34,48,4,2,3,420000 ,3,3,2173,2804,2015,65,"3,920",2,2695,89122
64,46,54,4,2,3,469000 ,4,2.5,2384,2983,2007,69,"6,534",2,1268,89122
58,34,46,7,3,5,364995 ,3,2,1569,2550,1994,252,"4,356",2,1350,89130
46,36,39,5,3,3,400000 ,3,2,1436,2640,1996,0,"4,792",2,2936,89129
12,0,27,6,5,5,336000 ,3,2.5,1611,2335,2007,200,"1,307",2,1480,89129
58,31,45,6,3,5,437000 ,4,3,1946,2893,1989,80,"4,792",2,2358,89149
62,30,44,8,7,5,400000 ,3,2,1382,2540,2000,28,"4,356",2,1398,89143
44,26,41,8,7,5,439900 ,3,2.5,2156,2863,2001,59,"3,920",2,2037,89143
10,0,26,8,5,5,549000 ,5,3,3758,3605,2005,45,"7,841",2,3274,89131
54,30,41,7,7,5,409999 ,3,2,1615,2630,1998,27,"4,792",2,1777,89131
19,24,32,7,3,5,695000 ,5,3,3121,4630,2011,132,"9,148",3,4036,89166
18,29,33,8,3,5,800000 ,4,3.5,3570,5424,2017,133,"6,970",2,6008,89166
2,0,27,6,5,5,969000 ,4,2.5,3066,6222,2004,135,13068,3,3419,89129
30,22,39,8,7,5,550000 ,4,2.5,2923,3658,2000,58,"7,405",3,3685,89143
1,0,27,9,7,5,365000 ,2,2,1493,2567,2006,195,"4,356",2,2232,89131
15,31,29,5,3,3,545500 ,3,2.5,2108,3470,1998,0,"5,227",2,2444,89129
12,28,29,8,7,5,398500 ,3,2.5,1476,2667,2004,60,"3,920",2,2654,89143
38,0,41,5,3,1,635000 ,4,3,3045,3963,1972,0,43124,0,1929,89108
5,0,32,6,5,5,345000 ,3,2.5,1342,2238,2005,80,"2,614",2,1106,89129
18,26,32,8,7,5,420000 ,3,2.5,1821,2743,2006,60,"3,920",2,2021,89143
7,29,26,8,3,5,500000 ,4,2.5,2591,3523,2011,100,"3,920",2,5155,89166
7,26,27,7,7,5,649000 ,3,2.5,2251,4240,2000,85,15682,3,3228,89131
33,37,38,6,7,3,440000 ,3,2,1530,2865,1993,61,"5,227",2,2030,89128
13,27,27,7,3,5,395000 ,4,2.5,1656,2714,2015,125,"2,614",2,2687,89166
11,27,30,7,3,5,395000 ,4,2.5,1657,2681,2013,125,"2,178",2,2286,89166
9,0,23,8,8,6,519800 ,2,2,1699,3534,1998,175,"7,405",2,2961,89134
70,36,46,7,7,6,500000 ,2,2,1653,3339,1990,165,"7,405",2,2160,89134
52,37,42,6,7,3,449900 ,3,2.5,1773,2900,1990,28,"6,534",2,2137,89128
40,27,40,8,7,5,437999 ,4,2.5,2156,2833,2000,59,"4,356",2,1821,89143
16,25,30,8,5,5,749900 ,4,2.5,3754,4894,2004,39,"9,148",3,4373,89131
11,17,26,5,5,5,738000 ,3,2.5,2717,4651,1988,0,21344,3,2786,89149
26,0,33,5,5,5,698000 ,3,3.5,2021,4309,1942,0,48352,3,1558,89149
52,39,49,4,2,3,399900 ,3,2.5,1535,2601,1993,75,"4,356",2,1576,89108
18,30,34,6,3,5,849770 ,5,3,3503,5340,1994,0,"7,405",3,3021,89129
63,39,54,4,7,3,430000 ,4,3,1870,2730,1992,0,"4,792",2,1860,89128
34,37,38,7,3,5,365000 ,3,2,1272,2294,1994,0,"4,356",2,1297,89130
22,24,33,8,7,5,544999 ,3,2.5,2458,3565,2004,68,"6,970",2,2798,89131
19,29,32,7,7,5,429999 ,3,3,2022,2797,1998,34,"6,098",2,2256,89131
6,0,26,9,7,5,599000 ,3,2.5,2667,4047,2006,125,"7,405",2,4029,89131
42,39,44,5,5,5,385000 ,4,2.5,1642,2390,1984,0,"3,485",2,1016,89108
0,0,22,5,6,4,340000 ,3,3,1610,2044,1980,0,31363,0,92,89166
48,31,34,7,7,5,390000 ,3,2,1252,2427,1996,27,"7,405",2,775,89131
3,0,36,6,5,5,625000 ,5,3,3008,3862,2023,36,"4,012",2,1000,89129
11,30,28,7,3,5,419900 ,3,2.5,1723,2705,2006,60,"3,920",2,1566,89149
3,0,39,6,3,5,754900 ,4,3,2129,4861,2015,0,"10,454",3,4086,89149
27,29,31,7,7,5,380000 ,3,2,1366,2479,1997,100,"6,098",2,1246,89131
5,0,28,8,7,5,585000 ,3,2.5,2455,3834,2002,95,"8,276",2,2835,89131
11,20,22,8,3,5,699999 ,3,2.5,1825,4703,2019,133,"4,792",2,4548,89166
21,24,29,6,5,5,675000 ,4,3,2411,4519,1998,193,"8,276",2,3414,89149
32,36,34,6,7,3,575000 ,3,2,2033,3757,1990,80,"6,534",2,2803,89128
17,0,29,8,5,5,399900 ,3,2.5,2083,2597,2004,45,"4,356",2,1886,89131
40,0,39,5,3,1,599995 ,4,3,2328,3821,1979,0,19602,2,2745,89108
36,29,32,7,7,5,459900 ,3,2.5,2377,3060,1999,18,"4,356",2,3460,89131
32,32,34,7,7,5,459900 ,3,2,1602,2957,2001,23,11326,2,2157,89131
55,35,43,5,3,3,420000 ,3,2,1360,2736,1997,70,"4,356",2,1819,89129
21,24,32,6,3,5,599900 ,4,3.5,3264,3928,2006,75,"6,098",3,3126,89149
17,16,29,6,5,5,625000 ,4,3,3468,4204,2001,50,"7,841",3,4942,89130
8,20,22,7,3,5,480000 ,4,2.5,2601,3305,2014,155,"3,920",2,3309,89166
56,42,60,4,4,1,385000 ,5,2,1775,2385,1963,0,"6,098",2,951,89108
29,31,31,7,7,6,685000 ,3,2,2115,4509,1992,165,"8,276",2,2912,89134
9,0,20,8,8,6,929500 ,3,2.5,2566,6150,1997,172,"8,276",2,4944,89134
56,39,44,7,3,1,429900 ,3,2,1570,2718,1994,13,"8,276",2,1572,89130
21,33,33,6,3,5,424990 ,2,2,1613,2699,1998,19,"3,920",2,1622,89129
11,23,31,6,5,5,385000 ,3,2.5,1398,2460,2004,40,"2,614",2,1373,89129
40,31,36,7,7,6,544000 ,4,3,1870,3535,1992,51,"4,792",2,2715,89134
3,30,27,8,5,5,510000 ,5,3,2850,3322,2004,45,"6,534",2,2681,89131
35,23,33,7,3,5,485000 ,5,3,2174,3301,2013,95,"4,792",2,3626,89166
26,33,34,6,3,5,424990 ,3,2.5,1653,2710,1996,19,"3,920",2,1759,89129
37,40,43,3,2,3,299900 ,2,1,925,1847,1981,0,"3,049",1,619,89108
49,40,44,3,2,1,395000 ,3,3,1606,2440,1965,0,"6,098",2,903,89108
5,0,32,6,5,5,368000 ,3,2.5,1453,2385,2005,80,"2,614",2,1223,89129
15,20,28,6,5,5,634900 ,4,2.5,2607,4096,2002,50,"7,405",3,2931,89130
33,43,36,4,,1,259000 ,3,2.5,1173,1755,1999,145,"3,844",2,710,89106
9,23,28,8,7,5,414900 ,4,2.5,2490,2783,2004,90,"5,227",2,2506,89143
6,0,26,9,7,5,385000 ,3,2,1676,2720,2005,244,"3,920",2,2046,89131
54,44,49,5,4,1,359900 ,3,2,1220,2220,1962,0,"6,098",0,781,89108
1,0,36,7,7,6,850000 ,3,2.5,2390,5724,2018,120,"6,098",2,6170,89138
52,32,38,6,3,5,400000 ,3,2.5,1644,2595,1994,80,"6,534",2,1443,89149
4,0,32,6,5,5,574500 ,3,2.5,2213,3894,2019,87,"4,356",2,4408,89129
10,0,21,7,7,6,449900 ,2,2,1374,3027,1995,168,"5,663",2,1987,89134
48,40,43,4,7,3,382000 ,3,2,1143,2428,1994,0,"6,098",2,1688,89128
0,0,27,6,5,5,950000 ,4,2.5,3293,6188,2004,135,14375,2,4377,89129
4,0,39,10,8,6,545000 ,3,3,1640,3829,2022,220,"9,583",2,4152,89138
20,19,27,8,8,6,420000 ,3,2,1144,2755,1997,60,"3,920",2,2160,89144
0,0,22,5,6,4,591323 ,5,3.5,3066,4089,2023,65,"5,227",2,5800,89166
72,40,47,2,7,3,475000 ,4,2.5,1641,2994,1994,0,"4,356",2,1793,89128
43,38,35,2,3,1,450000 ,4,2.5,1855,2834,1995,17,"4,356",2,1467,89032
10,29,24,8,3,5,559000 ,4,2.5,2577,3849,2017,138,"4,792",2,4363,89166
1,0,35,8,8,6,945000 ,3,2.5,3073,6218,1999,165,"8,276",3,4734,89134
33,35,31,5,7,3,605000 ,4,3,2419,4140,1990,170,"9,583",3,4172,89128
39,34,38,7,7,6,493000 ,2,2,1653,3243,1990,160,"10,019",2,1576,89134
46,32,38,7,3,5,486405 ,4,3.5,2044,3307,2023,145,"1,307",2,3000,89148
14,0,33,6,5,5,475000 ,3,3,1910,3098,2013,47,"2,178",2,2481,89129
8,22,22,8,3,5,516000 ,4,3,2390,3690,2020,165,"6,098",2,5224,89166
36,29,33,8,3,5,365000 ,3,2.5,1456,2347,2006,49,"2,178",2,1345,89166
21,22,31,8,7,5,484999 ,4,3,2816,3190,2004,60,"4,792",3,2715,89143
51,34,46,6,3,5,389900 ,3,2.5,1522,2505,2003,55,"3,485",2,1390,89149
12,28,29,8,7,5,399000 ,3,2.5,1476,2589,2004,45,"3,485",2,1859,89143
29,37,34,5,3,1,425000 ,3,2,1573,2661,1985,0,11326,2,1390,89108
26,34,33,5,3,1,352900 ,2,2,1132,2222,1986,20,"5,227",2,1063,89108
43,20,52,6,5,5,399000 ,3,3,1809,2559,2006,51,"1,742",2,1421,89129
28,28,31,7,7,6,415000 ,2,2,1384,2789,1992,125,"8,276",2,2146,89134
11,0,33,8,8,6,799000 ,3,3,2539,5259,1996,152,"10,019",3,3877,89134
3,30,26,8,5,5,449900 ,3,2.5,1684,2928,2002,90,"4,792",2,1732,89131
41,34,36,7,7,6,620000 ,2,2,1804,4070,1989,165,"7,405",2,2309,89134
29,38,40,4,2,3,365000 ,3,2,1184,2257,1978,0,"6,970",2,863,89108
44,26,41,8,7,5,589999 ,3,2.5,1781,3757,2001,59,"5,227",2,1987,89143
49,41,40,4,2,1,419990 ,5,3,2205,2649,1982,0,"5,663",0,1611,89108
20,0,27,8,8,6,800000 ,5,3,3017,5315,2001,177,"5,227",3,4179,89144
38,27,34,8,7,5,500000 ,3,2.5,2214,3225,2001,65,"6,098",3,1991,89131
23,37,40,7,7,6,949000 ,5,3.5,3946,6379,1995,340,"8,712",3,4275,89134
66,39,57,6,7,3,449999 ,2,2,1548,2968,1993,50,"6,098",2,2680,89128
14,0,33,8,8,6,459999 ,3,2.5,1588,3070,1997,131,"3,920",2,2216,89134
40,36,34,7,7,6,600000 ,2,2,1653,3941,1990,165,11761,2,2197,89134
5,28,29,8,5,5,479900 ,3,2,1934,3177,2003,64,"6,534",3,2872,89131
23,29,26,8,3,5,390000 ,3,2.5,1522,2556,2004,87,"4,356",2,1609,89166
14,33,31,5,3,1,399900 ,3,2.5,1513,2529,1985,23,"3,920",2,1337,89108
60,42,43,5,5,5,300000 ,3,2,960,1824,1973,0,"6,970",0,331,89108
69,38,53,4,3,3,345000 ,2,2,1122,2177,1990,10,"4,356",2,1217,89108
19,28,43,7,3,5,469998 ,2,2,1511,3170,1986,202,"7,405",2,1845,89130
45,40,40,5,3,1,399700 ,3,2,2035,2473,1965,0,"7,405",0,958,89108
37,33,35,7,7,6,468888 ,2,2,1392,3157,1989,165,"6,970",2,2210,89134
7,0,18,8,8,6,579000 ,2,2,1713,3858,1997,173,"7,841",2,2619,89134
11,30,28,7,3,5,400000 ,3,2.5,1544,2592,2005,60,"3,485",2,1642,89149
49,43,47,4,,1,399900 ,4,2,1559,2466,1955,0,"6,970",0,857,89106
